source,compiler,profile,cmenu,size,unit,exact,mnemonics_equal
typed_split,1.2.5n,peephole,72.31126,1116,81.99154,33,False
typed_split,1.2.5n,schedule,66.13908,1192,58.779964,22,False
typed_split,1.2.5n,defaults,64.837746,1112,55.59499,25,False
typed_split,1.2.5n,space,59.589405,1088,84.586426,25,False
typed_split,1.2.5n,auto,76.30132,1192,86.53652,25,False
typed_split,1.2.5n,nopropagation,68.37749,1276,85.95446,25,False
typed_split,1.2.5n,nocse,57.536423,1304,84.62079,25,False
typed_split,1.2.5n,nolifetimes,76.364235,1192,86.52205,25,False
typed_split,1.2.5n,noloopinvariants,76.30132,1192,86.54259,25,False
typed_split,1.2.5n,nostrength,65.1457,1256,86.5262,25,False
typed_split,1.2.5n,nodeadstore,76.30132,1192,86.36841,25,False
typed_split,1.3,configured,84.25497,1152,99.74039,116,False
typed_split,1.3,level0,22.930464,1376,68.250626,28,False
typed_split,1.3,level1,38.354305,1364,79.115234,34,False
typed_split,1.3,level2,58.02318,1132,90.734795,42,False
typed_split,1.3,level3,84.25497,1152,99.494385,107,False
typed_split,1.3,peephole,78.36092,1124,95.91477,42,False
typed_split,1.3,schedule,74.46358,1152,64.869286,29,False
typed_split,1.3,defaults,71.29139,1124,61.359577,22,False
typed_split,1.3,space,69.31457,1040,96.955154,80,False
typed_split,1.3,auto,84.25497,1152,99.61803,115,False
typed_split,1.3,nopropagation,77.3808,1236,97.74783,79,False
typed_split,1.3,nocse,66.43709,1264,95.42103,67,False
typed_split,1.3,nolifetimes,83.572845,1152,99.516624,103,False
typed_split,1.3,noloopinvariants,84.25497,1152,98.93121,104,False
typed_split,1.3,nostrength,75.08609,1212,98.79443,101,False
typed_split,1.3,nodeadstore,84.25497,1152,98.79343,96,False
typed_split,1.3.2,configured,84.25497,1152,99.59142,113,False
typed_split,1.3.2,level0,22.930464,1376,68.27244,28,False
typed_split,1.3.2,level1,38.354305,1364,79.02532,34,False
typed_split,1.3.2,level2,58.02318,1132,90.58956,42,False
typed_split,1.3.2,level3,84.25497,1152,99.34543,104,False
typed_split,1.3.2,peephole,78.36092,1124,95.824066,42,False
typed_split,1.3.2,schedule,74.46358,1152,64.74033,29,False
typed_split,1.3.2,defaults,71.29139,1124,61.337555,22,False
typed_split,1.3.2,space,69.31457,1040,96.806725,79,False
typed_split,1.3.2,auto,84.25497,1152,86.48396,97,False
typed_split,1.3.2,nopropagation,77.3808,1236,97.57227,78,False
typed_split,1.3.2,nocse,66.43709,1264,95.27845,66,False
typed_split,1.3.2,nolifetimes,83.572845,1152,99.36926,101,False
typed_split,1.3.2,noloopinvariants,84.25497,1152,98.78438,102,False
typed_split,1.3.2,nostrength,75.08609,1212,98.640686,99,False
typed_split,1.3.2,nodeadstore,84.25497,1152,98.64446,94,False
typed_split,2.0,configured,84.25497,1152,99.59142,113,False
typed_split,2.0,level0,22.930464,1376,68.27244,28,False
typed_split,2.0,level1,38.354305,1364,79.02532,34,False
typed_split,2.0,level2,58.02318,1132,90.58956,42,False
typed_split,2.0,level3,84.25497,1152,99.34543,104,False
typed_split,2.0,peephole,78.36092,1124,95.824066,42,False
typed_split,2.0,schedule,74.46358,1152,64.74033,29,False
typed_split,2.0,defaults,71.29139,1124,61.337555,22,False
typed_split,2.0,space,69.31457,1040,96.806725,79,False
typed_split,2.0,auto,84.25497,1152,86.48396,97,False
typed_split,2.0,nopropagation,77.3808,1236,97.57227,78,False
typed_split,2.0,nocse,66.43709,1264,95.27845,66,False
typed_split,2.0,nolifetimes,83.572845,1152,99.36926,101,False
typed_split,2.0,noloopinvariants,84.25497,1152,98.78438,102,False
typed_split,2.0,nostrength,75.08609,1212,98.640686,99,False
typed_split,2.0,nodeadstore,84.25497,1152,98.64446,94,False
