address,section,size_bytes,class,subtype_reason,likely_owner,owner_confidence
0x802C18C0,.rodata,3432,const-data,small const / rodata,THPDec.c,med
0x802C26B8,.rodata,616,const-data,small const / rodata,THPDec.c,high
0x802C2B30,.rodata,540,const-data,small const / rodata,trigf.c,high
0x802C2D60,.data,8616,data-table,structured .data (relocs/pointers present),audio.c,med
0x802CA100,.data,864,data-table,structured .data (relocs/pointers present),textrender.c,high
0x802CADA0,.data,20,data-table,opaque .data table (needs inspection),objanim.c,high
0x802CAE84,.data,76,data-table,structured .data (relocs/pointers present),objlib.c,high
0x802CBE94,.data,264644,asset,padding-dominated blob (texture/FIFO region),,-
0x8030D068,.data,5192,data-table,structured .data (relocs/pointers present),rcp_dolphin.c,high
0x8030E8B0,.data,520,data-table,structured .data (relocs/pointers present),track_dolphin.c,high
0x8030EACC,.data,476,data-table,structured .data (relocs/pointers present),maketex.c,high
0x8030EF58,.data,880,ptr-table,reloc-dense pointer/jump/vtable table,objseq.c,high
0x8030F500,.data,160,data-table,opaque .data table (needs inspection),sky.c,high
0x8030F788,.data,40,data-table,opaque .data table (needs inspection),newclouds.c,high
0x8030F7E8,.data,132,ptr-table,reloc-dense pointer/jump/vtable table,cloudaction.c,high
0x8030FCA8,.data,120,ptr-table,reloc-dense pointer/jump/vtable table,dll_000A_expgfx.c,high
0x8030FDF4,.data,68,ptr-table,reloc-dense pointer/jump/vtable table,dll_000D_playershadow.c,high
0x80310528,.data,56,ptr-table,reloc-dense pointer/jump/vtable table,dll_0018_boneparticleeffect.c,high
0x80310670,.data,1560,ptr-table,reloc-dense pointer/jump/vtable table,dll_001B_effect2.c,high
0x80310D1C,.data,44,data-table,structured .data (relocs/pointers present),dll_0023_effect10.c,high
0x80310D7C,.data,44,data-table,structured .data (relocs/pointers present),dll_0024_effect11.c,high
0x80310DE4,.data,44,data-table,structured .data (relocs/pointers present),dll_0025_effect12.c,high
0x80310E88,.data,216,ptr-table,reloc-dense pointer/jump/vtable table,dll_0027_effect14.c,high
0x80310FB4,.data,372,ptr-table,reloc-dense pointer/jump/vtable table,dll_0028_effect15.c,high
0x803112E4,.data,564,ptr-table,reloc-dense pointer/jump/vtable table,dll_002D_effect20.c,high
0x803116E0,.data,64,ptr-table,reloc-dense pointer/jump/vtable table,dll_0014_unk.c,high
0x80311900,.data,2624,data-table,structured .data (relocs/pointers present),dll_0017_savegame.c,high
0x8031262C,.data,5780,data-table,structured .data (relocs/pointers present),dll_005E_dll5efunc0.c,high
0x80313E78,.data,32,data-table,structured .data (relocs/pointers present),dll_006F_dll6ffunc0.c,high
0x8031403C,.data,2276,data-table,structured .data (relocs/pointers present),dll_0070_dll70func0.c,high
0x80314930,.data,448,data-table,structured .data (relocs/pointers present),dll_0075_dll75func0.c,high
0x80314BB0,.data,256,data-table,structured .data (relocs/pointers present),dll_0079_dll79func0.c,high
0x80314DE4,.data,36,data-table,structured .data (relocs/pointers present),dll_007B_dll7bfunc0.c,high
