## US10 -> KIOSK (.text), mapped on side A via GSAE01
TU                                                   sites    delta  functions touched
dlls/engine/47/47.c                                      4      -90  Carryable_putDownAndSavePos, Carryable_updateRenderState, Carryable_updateHeld, Carryable_init
dlls/modgfx/89/89.c                                      2      +68  dll_59_spawnEffect
dlls/modgfx/90/90.c                                      7      -60  StaffCollision_spawn
dlls/modgfx/91/91.c                                      2       +4  dll_5B_spawnModelEffects
dlls/modgfx/92/92.c                                      1       +8  dll_5C_spawnEffect
dlls/modgfx/94/94.c                                      1       +0  dll_5E_spawnSequence
dlls/modgfx/95/95.c                                      1       +4  dll_5F_spawnEffect
dlls/modgfx/96/96.c                                      2       +4  dll_60_spawnEffect
dlls/modgfx/97/97.c                                      2       +4  dll_61_spawnEffect
dlls/modgfx/98/98.c                                      2       +8  dll_62_spawnEffect
dlls/modgfx/99/99.c                                      3       +8  dll_63_spawnEffect
dlls/modgfx/100/100.c                                    2       +8  dll_64_spawnEffect
dlls/modgfx/101/101.c                                    2       +8  dll_65_spawnEffect
dlls/modgfx/163/163.c                                    1       +4  dll_A3_spawnEffect
dlls/modgfx/102/102.c                                    2       +4  dll_66_spawnEffect
dlls/modgfx/103/103.c                                    1       +4  dll_67_spawnEffect
dlls/modgfx/104/104.c                                    1       +4  dll_68_spawnEffect
dlls/modgfx/105/105.c                                    2       -4  dll_69_spawnEffect
dlls/modgfx/106/106.c                                    3      +10  dll_6A_spawnEffect
dlls/modgfx/107/107.c                                    1       +4  dll_6B_spawnEffect
dlls/modgfx/109/109.c                                    1       +4  dll_6D_spawnEffect
dlls/modgfx/110/110.c                                    1       +8  dll_6E_spawnEffect
dlls/modgfx/112/112.c                                    1       +4  dll_70_spawnEffect
dlls/modgfx/113/113.c                                    1       +4  dll_71_spawnEffect
dlls/modgfx/114/114.c                                    1       +4  dll_72_spawnEffect
dlls/modgfx/115/115.c                                    2       +4  dll_73_spawnEffect
dlls/modgfx/116/116.c                                    2       +4  dll_74_spawnEffect
dlls/modgfx/120/120.c                                    1       +4  dll_78_spawnEffect
dlls/modgfx/121/121.c                                    3       +c  dll_79_spawnEffect
dlls/modgfx/122/122.c                                    3       +4  dll_7A_spawnEffect
dlls/modgfx/123/123.c                                    3       +c  dll_7B_spawnEffect
dlls/modgfx/124/124.c                                    1       +4  dll_7C_spawnEffect
dlls/modgfx/125/125.c                                    1       +4  dll_7D_spawnEffect
dlls/modgfx/126/126.c                                    1       +4  dll_7E_spawnEffect
dlls/modgfx/127/127.c                                    2       +4  dll_7F_spawnEffect
dlls/modgfx/128/128.c                                    2       +4  dll_80_spawnEffect
